mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
205.1221_0.621,5485.8123194110685,3272.6731522988675,0.5965703822419879,5.09e-4,-0.7452357405016584,3.2932822176632413,205.1221,0.621,3984.055,205.1221_0.621,205.1221_0.621,1
286.1437_1.13,41419.70363494577,76942.09568077473,1.8576206232402577,0.00974,0.8934558941557422,2.0114410431213843,286.1437,1.13,60980.496,Cluster_286.1437_1.13,286.1437_1.13;308.1256_1.117,2
308.1855_0.633,751.293184498216,9981.921453839997,13.286319721517055,7.1e-8,3.7318696317956115,7.1487416512809245,308.1855,0.633,5495.2344,308.1855_0.633,308.1855_0.633,1
310.2012_0.633,25333.635781428577,31168.351563682605,1.2303149785760836,0.0224,0.2990277138213577,1.6497519816658373,310.2012,0.633,28287.213,310.2012_0.633,310.2012_0.633,1
312.1597_1.413,4451.546097685732,12683.874151859023,2.8493188374378757,1.34e-5,1.5106170675913708,4.872895201635193,312.1597,1.413,10710.363,Cluster_312.1597_1.413,312.1597_1.413;399.2641_1.416;413.2797_1.415,3
373.2483_1.147,11554.337832417235,20572.01636975035,1.7804582718736865,0.0109,0.8322486240377636,1.9625735020593764,373.2483,1.147,17659.41,373.2483_1.147,373.2483_1.147,1
383.1533_0.931,814.7398696651444,531.8159651117385,0.6527432680203967,0.0445,-0.6154124213131235,1.3516399890190685,383.1533,0.931,526.1514,383.1533_0.931,383.1533_0.931,1
398.3413_0.639,607.178615978702,919.440165363367,1.5142828504942245,0.0152,0.5986347092152318,1.8181564120552274,398.3413,0.639,1063.0312,398.3413_0.639,398.3413_0.639,1
424.3418_1.822,18020.634821686486,20821.21636935752,1.1554097053396113,0.0268,0.20840451835266338,1.5718652059712113,424.3418,1.822,20409.59,424.3418_1.822,424.3418_1.822,1
428.3732_2.759,29161.7122461301,24582.872214736308,0.8429845273573939,0.0109,-0.24642194356533625,1.9625735020593764,428.3732,2.759,25670.871,428.3732_2.759,428.3732_2.759,1
464.1914_0.656,4548.841258863651,8492.720906610954,1.8670075351744688,0.0113,0.9007277502405483,1.9469215565165803,464.1914,0.656,5211.399,464.1914_0.656,464.1914_0.656,1
502.2902_3.355,9206.907265030175,6882.426355178269,0.7475285844704022,0.0194,-0.4197993478371811,1.712198270069774,502.2902,3.355,8336.037,502.2902_3.355,502.2902_3.355,1
518.4564_5.944,18622.060819047885,22404.946318814462,1.2031400034896884,8.59e-4,0.26680453161455353,3.0660068361687576,518.4564,5.944,20958.312,Cluster_518.4564_5.944,518.4564_5.944;532.4721_5.945,2
522.3564_3.24,1246527.405091511,960303.3278762269,0.7703828443352421,0.0283,-0.37635251874136233,1.5482135644757098,522.3564,3.24,1107699.5,Cluster_522.3564_3.24,1043.703_3.238;1065.6846_3.239;522.3564_3.24;639.47_3.238,4
526.2644_1.714,12155.85156058946,50602.209229504675,4.162786044012114,1.12e-4,2.057549409745236,3.9507819773298185,526.2644,1.714,33940.074,Cluster_526.2644_1.714,463.2323_1.708;526.2644_1.714;531.2196_1.712,3
536.437_10.971,26643.554811376496,14351.139031780705,0.538634545329249,7.02e-8,-0.8926213348268955,7.153662887870195,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
536.437_11.201,19268.91642028861,14766.548774337467,0.7663403822121251,0.00306,-0.3839427645445234,2.51427857351842,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
538.3859_4.051,7988.447068428331,9901.709105208993,1.239503625722475,0.00369,0.30976249151675606,2.43297363384094,538.3859,4.051,9140.667,538.3859_4.051,538.3859_4.051,1
542.3237_2.234,20355.043518106133,15971.62070409765,0.7846517591520077,0.041,-0.34987558969285393,1.3872161432802645,542.3237,2.234,18910.764,542.3237_2.234,542.3237_2.234,1
544.3374_3.238,187481.89801050906,160285.4097923585,0.8549380579845308,0.00587,-0.22610819731659768,2.2313618987523856,544.3374,3.238,182072.72,Cluster_544.3374_3.238,544.3374_3.238;560.3108_3.237,2
552.4018_4.301,14255.109744161753,11492.754108123714,0.8062199670423881,0.0285,-0.3107545811149924,1.5451551399914898,552.4018,4.301,12426.859,552.4018_4.301,552.4018_4.301,1
568.4266_4.64,27830.40129110884,34902.48921926561,1.254113760494576,0.00425,0.3266682207535243,2.3716110699496884,568.4266,4.64,30159.934,568.4266_4.64,568.4266_4.64,1
577.5185_8.358,11455.91025292446,7555.7137003728585,0.6595472148050426,0.00103,-0.6004521539444112,2.9871627752948275,577.5185,8.358,9950.561,577.5185_8.358,577.5185_8.358,1
593.4757_4.54,6027.551489906127,4158.027391687162,0.6898368929158528,5.59e-5,-0.5356728077768245,4.252588192113577,593.4757,4.54,4907.9043,593.4757_4.54,593.4757_4.54,1
593.4762_4.644,8039.546765397756,5906.564679388962,0.734688764397869,0.00362,-0.4447948832443362,2.441291429466834,593.4762,4.644,6266.7153,593.4762_4.644,593.4762_4.644,1
593.4768_4.312,6249.098322915906,3630.6958958642285,0.580995162542122,0.00315,-0.7834019433152949,2.5016894462103996,593.4768,4.312,4877.44,593.4768_4.312,593.4768_4.312,1
595.4929_4.645,24971.446629367405,15738.943572263737,0.6302776048927066,5.77e-8,-0.6659406932757216,7.238824186844268,595.4929,4.645,19320.225,Cluster_595.4929_4.645,577.4817_4.655;595.4929_4.645,2
596.4154_4.906,5585.337345189098,12459.216679651681,2.2307008349967195,3.35e-5,1.1574970430275502,4.474955192963154,596.4154,4.906,9519.12,596.4154_4.906,596.4154_4.906,1
597.5086_5.242,5049.257704041166,4111.089855541504,0.8141968773451985,6.67e-4,-0.29655040650601916,3.175874166083451,597.5086,5.242,3913.0447,597.5086_5.242,597.5086_5.242,1
602.5849_10.522,5734.625590517451,4710.029825761401,0.8213317070864607,0.0448,-0.2839631012394227,1.348721986001856,602.5849,10.522,5207.945,602.5849_10.522,602.5849_10.522,1
603.2923_2.783,5690.6930575170745,4938.032109630685,0.8677382631115259,0.0474,-0.20466814836304204,1.324221658325915,603.2923,2.783,4864.1846,603.2923_2.783,603.2923_2.783,1
610.431_5.16,11773.111526218227,15755.90080145254,1.3382953832013575,0.0208,0.4203965770014013,1.6819366650372385,610.431,5.16,14802.413,610.431_5.16,610.431_5.16,1
617.4748_4.643,49312.46532543217,28546.619495765954,0.5788925641290836,0.00126,-0.7886324696092112,2.899629454882437,617.4748,4.643,35170.414,617.4748_4.643,617.4748_4.643,1
619.4903_4.953,30465.12179312573,19862.443884008353,0.6519732308600255,2.98e-6,-0.6171153643241318,5.525783735923745,619.4903,4.953,17660.412,Cluster_619.4903_4.953,317.2685_4.946;619.4903_4.953;620.4935_4.951;641.4722_4.95,4
622.6132_10.675,96886.75697001063,77072.28686531186,0.7954883544008813,0.003,-0.330087284596377,2.5228787452803374,622.6132,10.675,89598.445,Cluster_622.6132_10.675,604.6026_10.678;622.6132_10.675,2
634.5399_9.061,38013.91358222961,46272.32571648078,1.2172470907628867,0.0263,0.2836220525503787,1.5800442515102422,634.5399,9.061,32500.328,Cluster_634.5399_9.061,634.5399_9.061;639.4955_9.064,2
634.54_8.941,24822.383748668537,28673.984694455616,1.155166441095476,0.0362,0.20810073600774676,1.4412914294668342,634.54,8.941,23433.549,634.54_8.941,634.54_8.941,1
650.6449_10.83,273839.7468152559,213833.77896736347,0.7808719568807699,0.00314,-0.3568420923812882,2.503070351926785,650.6449,10.83,240339.16,Cluster_650.6449_10.83,1300.2808_10.831;1301.284_10.831;632.6339_10.83;650.6449_10.83;737.7496_10.83;751.765_10.833,6
652.6596_10.839,34427.194882862765,28904.321839407145,0.839578186307453,0.00562,-0.2522634114813144,2.250263684430939,652.6596,10.839,32171.18,652.6596_10.839,652.6596_10.839,1
661.5282_5.288,14062.02688744757,16416.489522000284,1.1674340870912727,0.0371,0.22334109819109366,1.4306260903849541,661.5282,5.288,16697.91,661.5282_5.288,661.5282_5.288,1
664.5997_4.075,1071.2431126139409,1529.2205507719866,1.4275196104090087,0.0348,0.5135105646042284,1.458420756053419,664.5997,4.075,1035.8855,664.5997_4.075,664.5997_4.075,1
682.5516_8.574,3647.5590097447302,5264.005600493088,1.443158448274558,0.0461,0.5292297059209933,1.3362990746103518,682.5516,8.574,5172.041,682.5516_8.574,682.5516_8.574,1
691.5742_6.403,4634.505281025804,5828.665212583116,1.257667185415958,0.00865,0.33075019449461807,2.0629838925351858,691.5742,6.403,5595.564,691.5742_6.403,691.5742_6.403,1
692.6335_11.899,57307.12080078623,72532.95316545478,1.265688315028028,0.0135,0.339922174335252,1.869666231504994,692.6335,11.899,57514.188,692.6335_11.899,692.6335_11.899,1
693.6368_11.899,30532.90059804001,36034.72816539073,1.1801934129934544,0.027,0.239023311367372,1.5686362358410126,693.6368,11.899,30668.17,693.6368_11.899,693.6368_11.899,1
717.5903_6.828,48180.422312743634,59018.401083522986,1.2249456989071,0.00809,0.2927177968573998,2.0920514783877278,717.5903,6.828,54318.625,Cluster_717.5903_6.828,717.5903_6.828;718.5932_6.828,2
717.5903_7.018,43930.020369080405,53472.2816104139,1.2172150424963084,7.14e-4,0.28358406808174996,3.1463017882238256,717.5903,7.018,50538.844,717.5903_7.018,717.5903_7.018,1
718.5934_7.015,21474.266127327406,25566.731220783626,1.1905753178800504,0.00169,0.25165889091058424,2.7721132953863266,718.5934,7.015,24324.54,718.5934_7.015,718.5934_7.015,1
719.6006_7.392,5180.583874665689,6720.682508039721,1.2972828296257277,1.46e-4,0.37549304583151233,3.835647144215563,719.6006,7.392,6743.7446,719.6006_7.392,719.6006_7.392,1
724.5272_7.284,2906.415488095767,2360.3994798898093,0.8121342215377134,0.0255,-0.30020991335814085,1.5934598195660448,724.5272,7.284,2807.15,724.5272_7.284,724.5272_7.284,1
727.5745_6.067,23562.668978010024,30271.9335820873,1.2847412833554097,0.00125,0.361477863855398,2.9030899869919438,727.5745,6.067,27238.762,727.5745_6.067,727.5745_6.067,1
731.6047_7.112,6542.933498998263,8366.518791166329,1.2787106566874418,0.0318,0.35468985187667496,1.4975728800155672,731.6047,7.112,7610.8833,731.6047_7.112,731.6047_7.112,1
732.5542_6.723,463969.41211443517,320414.8997637457,0.690594878450128,0.0479,-0.5340884598880701,1.3196644865854368,732.5542,6.723,400959.62,Cluster_732.5542_6.723,1464.0995_6.726;1465.1023_6.726;732.5542_6.723,3
732.589_8.53,4168.6215096907135,4983.846228894916,1.1955621822007743,0.0186,0.2576891677908231,1.7304870557820837,732.589,8.53,4276.241,732.589_8.53,732.589_8.53,1
733.6215_7.929,36322.5847124496,47871.83436697874,1.317963320781261,0.0214,0.3983102203737974,1.6695862266508092,733.6215,7.929,43130.113,Cluster_733.6215_7.929,733.6215_7.929;734.6246_7.927,2
738.5064_6.603,4356.6335193572295,3176.206366200329,0.7290506194950593,0.0235,-0.45590910755164393,1.6289321377282637,738.5064,6.603,4061.1233,738.5064_6.603,738.5064_6.603,1
743.6054_7.227,13820.8417768124,18039.937993625368,1.3052705678095136,7.42e-4,0.3843488921414999,3.129596094720973,743.6054,7.227,15353.877,743.6054_7.227,743.6054_7.227,1
745.6202_7.852,13864.464304607254,19330.800065043743,1.3942695253375197,0.00593,0.47950947460800775,2.2269453066357374,745.6202,7.852,17703.682,745.6202_7.852,745.6202_7.852,1
745.6214_8.115,39525.292824347,46980.72249311441,1.1886242741299813,1.15e-4,0.2492927491348529,3.939302159646388,745.6214,8.115,45071.83,745.6214_8.115,745.6214_8.115,1
746.5685_9.239,20797.924863375494,15278.904198461878,0.734635993678752,0.0208,-0.4448985118729134,1.6819366650372385,746.5685,9.239,18370.186,746.5685_9.239,746.5685_9.239,1
749.5557_6.066,6632.102565030442,8568.76758577582,1.2920137319583942,2.93e-4,0.36962140356356965,3.5331323796458904,749.5557,6.066,7623.0034,749.5557_6.066,749.5557_6.066,1
750.6771_10.977,6468.187918549961,5393.3457599441135,0.8338263865953348,0.0459,-0.26218106765842963,1.3381873144627388,750.6771,10.977,5983.459,Cluster_750.6771_10.977,750.6771_10.977;764.6932_10.985,2
751.5717_6.812,42077.2500597716,51905.966393717434,1.2335874212308062,0.0162,0.3028599594216328,1.790484985457369,751.5717,6.812,44173.656,Cluster_751.5717_6.812,751.5717_6.812;752.5739_6.808,2
755.6054_6.838,22915.313458749028,30688.01087496675,1.339192279879118,4.11e-4,0.42136311623550105,3.3861581781239307,755.6054,6.838,25975.457,755.6054_6.838,755.6054_6.838,1
760.9763_7.718,6184.383324447989,5336.636832676582,0.8629214187904376,0.0057,-0.21269890730595872,2.2441251443275085,760.9763,7.718,5874.9985,760.9763_7.718,760.9763_7.718,1
761.0763_7.717,4956.059488565767,4260.301695763409,0.8596147212503086,0.0135,-0.21823790517313424,1.869666231504994,761.0763,7.717,4806.392,761.0763_7.717,761.0763_7.717,1
761.1927_7.717,6024.864471089754,4718.106461251154,0.7831058248514859,0.00536,-0.35272081588667886,2.27083521030723,761.1927,7.717,5768.6094,761.1927_7.717,761.1927_7.717,1
761.2595_7.716,6617.7208776884045,4825.268650365448,0.7291435736786367,3.88e-4,-0.4557251752050657,3.4111682744057927,761.2595,7.716,6302.5713,761.2595_7.716,761.2595_7.716,1
761.302_7.716,6670.154058599041,5030.082365741276,0.7541178691752383,3.19e-4,-0.40713805947766096,3.496209316942819,761.302,7.716,6408.743,761.302_7.716,761.302_7.716,1
761.3174_7.717,6738.2476225222235,4997.151214488657,0.7416099102362984,4.79e-4,-0.4312675718607688,3.319664486585437,761.3174,7.717,6379.1562,761.3174_7.717,761.3174_7.717,1
761.329_7.717,7165.4313104084595,5049.1906732067555,0.7046596993920426,9.92e-5,-0.5050013884786694,4.0034883278458215,761.329,7.717,6771.139,761.329_7.717,761.329_7.717,1
761.3681_7.718,7323.546438722461,5208.098847526457,0.7111443739865151,5.23e-4,-0.49178561452221803,3.281498311132726,761.3681,7.718,7333.393,761.3681_7.718,761.3681_7.718,1
761.3781_7.717,7471.270004145914,5526.710268710545,0.7397283548370887,7.29e-4,-0.4349325174946048,3.1372724716820253,761.3781,7.717,7112.785,761.3781_7.717,761.3781_7.717,1
761.4062_7.717,7739.862966912927,5799.211077791119,0.7492653426271391,5.87e-5,-0.4164513739323485,4.231361898752385,761.4062,7.717,7782.964,761.4062_7.717,761.4062_7.717,1
761.4141_7.718,7925.941013330327,5798.845321693691,0.7316286245306195,2.12e-4,-0.45081657411933296,3.6736641390712483,761.4141,7.718,7833.683,761.4141_7.718,761.4141_7.718,1
761.4437_7.717,9125.393511874352,6477.133557884585,0.7097922461597148,5.92e-5,-0.494531280544898,4.22767829327708,761.4437,7.717,8597.946,761.4437_7.717,761.4437_7.717,1
761.4545_7.719,8626.220827819066,6428.86446047476,0.7452701001743476,3.2e-4,-0.42416471419684865,3.494850021680094,761.4545,7.719,8453.398,761.4545_7.719,761.4545_7.719,1
761.5191_7.716,14656.586256971646,11475.593098488273,0.7829649344866864,0.0024,-0.3529803978116229,2.619788758288394,761.5191,7.716,14293.361,761.5191_7.716,761.5191_7.716,1
762.5032_7.719,6536.200276919147,5401.266449432241,0.8263618341845149,0.00859,-0.27515447052978287,2.0660068361687576,762.5032,7.719,6223.787,762.5032_7.719,762.5032_7.719,1
762.5251_7.716,6012.656911277493,4992.5877545399435,0.8303463557309778,0.00857,-0.2682148530470479,2.067019178076802,762.5251,7.716,6219.3857,762.5251_7.716,762.5251_7.716,1
762.541_6.576,2143.1707015786305,1522.3423298938367,0.7103224809729342,0.00577,-0.49345394903573114,2.2388241868442686,762.541,6.576,1622.12,762.541_6.576,762.541_6.576,1
766.5356_8.411,17468.082517024915,14465.508904594579,0.8281108639426257,0.0289,-0.272104172387969,1.5391021572434522,766.5356,8.411,17759.93,766.5356_8.411,766.5356_8.411,1
766.5755_7.417,614237.6370981246,730761.9685206476,1.189705619429355,0.0095,0.25060463745835093,2.0222763947111524,766.5755,7.417,659254.25,Cluster_766.5755_7.417,1532.1401_7.417;1533.1433_7.416;1554.1324_7.421;766.5755_7.417,4
768.551_7.206,17370.507201708264,14400.096999043333,0.828996921726453,0.0317,-0.27056135024501704,1.4989407377822486,768.551,7.206,16749.52,768.551_7.206,768.551_7.206,1
768.5536_6.434,68256.60795613172,78744.52586465927,1.1536542500803453,0.0325,0.20621091338210953,1.4881166390211256,768.5536,6.434,78950.15,768.5536_6.434,768.5536_6.434,1
771.6366_8.357,31094.744455972937,38005.06802038356,1.2222344542562473,0.00503,0.28952105565486674,2.2984320149440727,771.6366,8.357,32690.621,771.6366_8.357,771.6366_8.357,1
773.6516_9.025,6525.67772711423,8271.241436724216,1.2674915591306568,0.00763,0.34197613962239054,2.1174754620451197,773.6516,9.025,7623.451,773.6516_9.025,773.6516_9.025,1
775.6661_9.814,4043.760221738205,5487.450979176492,1.3570169046318277,0.00565,0.44043869281026793,2.2479515521805613,775.6661,9.814,5144.27,775.6661_9.814,775.6661_9.814,1
780.5549_6.325,844402.5570429188,621105.0965569145,0.7355556794285565,0.0424,-0.44309354144931457,1.3726341434072673,780.5549,6.325,724006,Cluster_780.5549_6.325,1192.8093_6.322;1560.0983_6.326;1561.1021_6.326;1572.0922_6.339;1582.0806_6.324;1583.0843_6.325;780.5549_6.325,7
780.5921_7.79,26519.31982029749,32305.762723787517,1.2181972593075774,0.0082,0.2847477637717782,2.0861861476162833,780.5921,7.79,30276.889,780.5921_7.79,780.5921_7.79,1
781.62_7.043,9158.543693871887,12202.286736064392,1.3323391953929442,0.00198,0.4139614196572124,2.703334809738469,781.62,7.043,10263.284,781.62_7.043,781.62_7.043,1
783.6368_7.847,67471.79317421695,91877.53765843384,1.3617177391624902,4.6e-4,0.44542768828971174,3.337242168318426,783.6368,7.847,78367.53,783.6368_7.847,783.6368_7.847,1
784.6654_10.38,59136.48794734484,48761.088809744084,0.8245516516496716,0.00248,-0.27831822494224606,2.6055483191737836,784.6654,10.38,53559.82,784.6654_10.38,784.6654_10.38,1
785.6536_8.747,258967.16627015537,305087.3566002674,1.1780928099664931,0.00972,0.2364531989341584,2.0123337350737254,785.6536,8.747,285686.94,Cluster_785.6536_8.747,785.6536_8.747;786.6565_8.746;787.6592_8.744;807.6347_8.75,4
785.6542_8.953,815332.6997829935,687862.0491409609,0.8436581156674327,0.0085,-0.24526961580915527,2.070581074285707,785.6542,8.953,693477.56,Cluster_785.6542_8.953,1570.2972_8.954;1571.3005_8.952;785.6542_8.953,3
787.6674_9.202,13965.59028483486,19225.125003137557,1.3766066890859594,0.0129,0.46111642529894314,1.889410289700751,787.6674,9.202,16802.523,787.6674_9.202,787.6674_9.202,1
787.6701_9.896,1220041.5949241638,975960.7262992355,0.7999405351092967,0.00379,-0.32203533600174317,2.421360790031928,787.6701,9.896,1030476.8,Cluster_787.6701_9.896,1574.3292_9.897;1575.3325_9.895;787.6701_9.896,3
788.6177_8.867,1389625.8676810476,1031306.2871309713,0.7421467253282887,0.0273,-0.4302236533551101,1.563837352959244,788.6177,8.867,1244636.2,Cluster_788.6177_8.867,1576.2251_8.873;1577.2283_8.872;1598.2061_8.871;1599.2099_8.871;1600.2146_8.869;788.6177_8.867,6
791.5433_6.743,4004.312918024547,3320.546426869493,0.8292424929936851,0.0239,-0.27013404831398635,1.6216020990518623,791.5433,6.743,4160.7954,791.5433_6.743,791.5433_6.743,1
792.5531_6.261,21452.224752589715,26010.68639962751,1.2124936550689223,0.0228,0.27797719775374363,1.6420651529995463,792.5531,6.261,25182.852,792.5531_6.261,792.5531_6.261,1
792.5893_7.058,20663.493695845693,14463.99160376185,0.6999780296915509,0.0483,-0.5146184541904321,1.3160528692484879,792.5893,7.058,16901.496,792.5893_7.058,792.5893_7.058,1
